step,time_ms
1,30.886
2,29.421
3,29.393
4,30.033
5,28.790
6,28.688
7,28.683
8,28.787
9,29.161
10,28.817
11,29.325
12,29.461
13,29.375
14,29.115
15,29.373
16,29.418
17,29.106
18,29.354
19,29.550
20,29.191
21,29.428
22,29.280
23,29.152
24,28.715
25,28.431
26,29.253
27,28.504
28,28.587
29,28.590
30,28.884
31,29.265
32,29.067
33,29.138
34,28.908
35,29.572
36,29.476
37,29.388
38,29.497
39,29.371
40,29.368
41,29.480
42,29.340
43,29.082
44,29.322
45,29.515
46,29.426
47,29.134
48,29.447
49,29.406
50,29.452
51,29.386
52,29.231
53,29.420
54,29.365
55,29.541
56,29.482
57,29.803
58,28.600
59,29.222
60,28.573
61,29.175
62,28.358
63,28.650
64,28.500
65,28.659
66,29.272
67,29.093
68,28.864
69,29.547
70,29.324
71,29.329
72,29.463
73,29.393
74,29.382
75,29.410
76,29.085
77,29.303
78,29.169
79,29.518
80,29.230
81,29.480
82,29.133
83,29.458
84,29.480
85,29.523
86,29.421
87,29.294
88,29.253
89,29.495
90,29.097
91,29.109
92,29.053
93,28.722
94,28.808
95,29.046
96,28.456
97,28.924
98,28.582
99,28.893
100,29.708
101,29.665
102,29.909
103,29.260
104,28.782
105,28.547
106,29.141
107,29.241
108,29.469
109,29.267
110,29.307
111,29.207
112,29.364
113,29.318
114,29.136
115,29.366
116,29.514
117,29.317
118,29.488
119,29.318
120,29.429
121,29.280
122,29.444
123,28.855
124,29.146
125,29.411
126,29.770
127,28.747
128,28.283
129,29.109
130,28.351
131,28.727
132,28.669
133,28.943
134,28.850
135,29.257
136,29.485
137,29.562
138,29.344
139,29.191
140,29.360
141,29.401
142,29.535
143,29.251
144,29.286
145,29.339
146,29.262
147,29.103
148,29.545
149,29.368
150,29.506
151,29.244
152,29.421
153,29.444
154,29.465
155,29.231
156,29.461
157,29.363
158,29.439
159,29.375
160,29.147
161,28.723
162,29.232
163,28.020
164,28.782
165,28.867
166,29.340
167,28.835
168,28.373
169,28.600
170,29.479
171,29.274
172,29.332
173,29.496
174,29.115
175,29.465
176,29.281
177,29.327
178,29.397
179,29.415
180,29.614
181,29.468
182,29.116
183,29.267
184,29.195
185,29.324
186,29.431
187,29.075
188,29.270
189,29.117
190,29.359
191,29.436
192,29.372
193,29.284
194,29.354
195,28.536
196,28.848
197,28.551
198,28.516
199,28.614
200,28.673
201,28.462
202,28.492
203,29.374
204,29.179
205,29.331
206,29.575
207,29.315
208,29.465
209,29.355
210,29.353
211,29.408
212,29.376
213,29.230
214,29.547
215,29.264
216,29.471
217,29.074
218,29.354
219,29.569
220,29.367
221,28.972
222,29.309
223,29.581
224,29.358
225,28.930
226,29.482
227,29.382
228,29.245
229,28.780
230,28.793
231,28.699
232,28.887
233,28.893
234,28.873
235,28.746
236,29.010
237,29.198
238,29.345
239,29.262
240,29.696
241,29.425
242,29.403
243,29.457
244,29.289
245,29.638
246,29.334
247,29.366
248,29.439
249,29.283
250,29.322
251,29.305
252,29.508
253,29.371
254,29.354
255,29.154
256,29.364
257,29.258
258,29.097
259,29.424
260,29.347
261,28.928
262,28.577
263,29.019
264,28.733
265,29.085
266,28.419
267,28.712
268,28.827
269,28.812
270,28.682
271,28.464
272,28.942
273,29.493
274,29.410
275,29.269
276,29.294
277,29.360
278,29.394
279,29.269
280,29.313
281,29.313
282,29.168
283,29.203
284,29.429
285,29.085
286,29.292
287,28.997
288,29.424
289,29.535
290,29.499
291,29.588
292,29.161
293,29.216
294,29.389
295,29.448
296,29.153
297,29.473
298,29.351
299,28.735
300,28.760
301,28.621
302,28.743
303,28.491
304,28.887
305,28.170
306,28.267
307,28.917
308,28.815
309,29.448
310,29.268
311,29.275
312,29.729
313,29.396
314,29.355
315,37.668
316,35.928
317,28.621
318,28.551
319,28.225
320,28.883
321,28.949
322,28.639
323,28.729
324,28.524
325,29.020
326,28.780
327,28.604
328,28.763
329,29.040
330,29.533
331,29.200
332,28.721
333,29.028
334,29.107
335,28.284
336,29.040
337,28.758
338,28.433
339,28.522
340,28.878
341,28.972
342,29.543
343,29.208
344,29.666
345,29.477
346,29.258
347,29.513
348,29.531
349,29.504
350,29.438
351,29.453
352,29.312
353,29.224
354,29.397
355,29.584
356,28.589
357,28.579
358,29.023
359,28.861
360,28.909
361,28.571
362,29.603
363,28.575
364,28.538
365,29.106
366,28.856
367,28.538
368,29.009
369,28.617
370,28.746
371,28.594
372,28.756
373,29.011
374,28.602
375,28.737
376,28.595
377,28.613
378,29.035
379,29.284
380,29.144
381,29.360
382,29.259
383,29.408
384,29.435
385,29.323
386,29.295
387,29.446
388,29.382
389,29.413
390,29.396
391,29.529
392,29.420
393,29.111
394,29.428
395,29.263
396,29.359
397,29.235
398,29.443
399,29.463
400,29.050
401,29.367
402,28.413
403,29.137
404,28.055
405,28.278
406,28.659
407,28.648
408,28.481
409,28.507
410,29.024
411,29.402
412,29.325
413,29.732
414,29.254
415,29.420
416,29.362
417,29.357
418,29.485
419,29.498
420,29.610
421,29.246
422,29.261
423,29.293
424,29.583
425,29.421
426,29.113
427,29.213
428,29.171
429,29.353
430,29.246
431,29.314
432,29.099
433,29.117
434,29.226
435,28.171
436,28.451
437,28.356
438,28.329
439,28.538
440,28.754
441,28.563
442,29.359
443,28.483
444,28.646
445,28.732
446,29.399
447,29.325
448,29.443
449,29.317
450,29.197
451,29.277
452,29.380
453,29.373
454,29.424
455,29.321
