step,time_ms
1,1.642
2,0.356
3,0.251
4,0.252
5,0.334
6,0.254
7,0.222
8,0.227
9,0.218
10,0.210
11,0.211
12,0.219
13,0.261
14,0.260
15,0.249
16,0.224
17,0.208
18,0.228
19,0.216
20,0.214
21,0.195
22,0.206
23,0.204
24,0.206
25,0.195
26,0.192
27,0.241
28,0.216
29,0.213
30,0.208
31,0.243
32,0.211
33,0.205
34,0.205
35,0.206
36,0.261
37,0.273
38,0.244
39,0.225
40,0.220
41,0.209
42,0.206
43,0.218
44,0.229
45,0.214
46,0.200
47,0.195
48,0.200
49,0.221
50,0.187
51,0.193
52,0.197
53,0.192
54,0.192
55,0.180
56,0.192
57,0.180
58,0.192
59,0.205
60,0.196
61,0.200
62,0.210
63,0.211
64,0.206
65,0.197
66,0.192
67,0.318
68,0.286
69,0.371
70,0.222
71,0.195
72,0.203
73,0.210
74,0.217
75,0.196
76,0.214
77,0.214
78,0.211
79,0.207
80,0.254
81,0.265
82,0.210
83,0.222
84,0.212
85,0.225
86,0.229
87,0.208
88,0.197
89,0.196
90,0.222
91,0.295
92,0.228
93,0.207
94,0.210
95,0.209
96,0.215
97,0.201
98,0.220
99,0.202
100,0.215
101,0.199
102,0.189
103,0.187
104,0.197
105,0.193
106,0.201
107,0.201
108,0.182
109,0.193
110,0.183
111,0.217
112,0.307
113,0.246
114,0.662
115,0.519
116,0.398
117,0.435
118,0.221
119,0.224
120,0.275
121,0.231
122,0.209
123,0.205
124,0.219
125,0.211
126,0.206
127,0.218
128,0.204
129,0.206
130,0.200
131,0.215
132,0.246
133,0.205
134,0.206
135,0.205
136,0.194
137,0.197
138,0.215
139,0.200
140,0.182
141,0.191
142,0.200
143,0.191
144,0.211
145,0.194
146,0.197
147,0.192
148,0.197
149,0.191
150,0.220
151,0.204
152,0.204
153,0.185
154,0.181
155,0.195
156,0.215
157,0.180
158,0.192
159,0.179
160,0.191
161,0.189
162,0.189
163,0.196
164,0.200
165,0.179
166,0.193
167,0.183
168,0.199
169,0.196
170,0.182
171,0.181
172,0.194
173,0.190
174,0.186
175,0.207
176,0.204
177,0.200
178,0.197
179,0.198
180,0.194
181,0.188
182,0.188
183,0.390
184,0.314
185,0.276
186,0.230
187,0.221
188,0.245
189,0.298
190,0.285
191,0.258
192,0.266
193,0.281
194,0.212
195,0.202
196,0.204
197,0.197
198,0.190
199,0.196
200,0.192
201,0.184
202,0.182
203,0.184
204,0.183
205,0.199
206,0.175
207,0.184
208,0.188
209,0.176
210,0.184
211,0.195
212,0.206
213,0.181
214,0.179
215,0.191
216,0.178
217,0.177
218,0.197
219,0.190
220,0.210
221,0.193
222,0.190
223,0.187
224,0.186
225,0.185
226,0.192
227,0.188
228,0.189
229,0.282
230,0.266
231,0.241
232,0.210
233,0.193
234,0.269
235,0.198
236,0.200
237,0.252
238,0.227
239,0.187
240,0.214
241,0.210
242,0.186
243,0.197
244,0.174
245,0.174
246,0.184
247,0.189
248,0.204
249,0.186
250,0.192
251,0.192
252,0.184
253,0.172
254,0.188
255,0.181
256,0.189
257,0.170
258,0.182
259,0.183
260,0.182
261,0.176
262,0.178
263,0.189
264,0.189
265,0.199
266,0.190
267,0.197
268,0.188
269,0.188
270,0.189
271,0.188
272,0.179
273,0.187
274,0.191
275,0.194
276,0.179
277,0.190
278,0.276
279,0.263
280,0.209
281,0.215
282,0.208
283,0.197
284,0.219
285,0.195
286,0.239
287,0.221
288,0.200
289,0.198
290,0.201
291,0.238
292,0.200
293,0.212
294,0.186
295,0.200
296,0.185
297,0.205
298,0.184
299,0.207
300,0.194
301,0.198
302,0.213
303,0.209
304,0.257
305,0.207
306,0.239
307,0.187
308,0.192
309,0.184
310,0.184
311,0.181
312,0.182
313,0.182
314,0.180
315,0.185
316,0.180
317,0.191
318,0.180
319,0.191
320,0.181
321,0.175
322,0.182
323,0.191
324,0.188
325,0.184
326,0.181
327,0.331
328,0.232
329,0.240
330,0.224
331,0.216
332,0.203
333,0.199
334,0.198
335,0.282
336,0.223
337,0.219
338,0.206
339,0.194
340,0.203
341,0.196
342,0.234
343,0.195
344,0.177
345,0.186
346,0.194
347,0.194
348,0.183
349,0.173
350,0.180
351,0.183
352,0.180
353,0.172
354,0.189
355,0.202
356,0.185
357,0.179
358,0.189
359,0.179
360,0.191
361,0.182
362,0.184
363,0.184
364,0.191
365,0.187
366,0.188
367,0.187
368,0.176
369,0.189
370,0.187
371,0.175
372,0.176
373,0.175
374,0.178
375,0.188
376,0.318
377,0.258
378,0.218
379,0.210
380,0.244
381,0.202
382,0.217
383,0.204
384,0.230
385,0.218
386,0.213
387,0.226
388,0.207
389,0.192
390,0.202
391,0.185
392,0.184
393,0.180
394,0.182
395,0.174
396,0.185
397,0.190
398,0.178
399,0.185
400,0.180
401,0.170
402,0.192
403,0.172
404,0.202
405,0.170
406,0.170
407,0.194
408,0.176
409,0.184
410,0.210
411,0.185
412,0.177
413,0.184
414,0.200
415,0.190
416,0.193
417,0.178
418,0.183
419,0.177
420,0.192
421,0.193
422,0.191
423,0.186
424,0.177
425,0.273
426,0.324
427,0.215
428,0.188
429,0.192
430,0.216
431,0.189
432,0.181
433,0.186
434,0.177
435,0.191
436,0.189
437,0.178
438,0.195
439,0.184
440,0.200
441,0.184
442,0.190
443,0.183
444,0.193
445,0.174
446,0.176
447,0.187
448,0.177
449,0.186
450,0.174
451,0.190
452,0.193
453,0.187
454,0.188
455,0.188
456,0.188
457,0.180
458,0.180
459,0.175
460,0.192
461,0.176
462,0.195
463,0.175
464,0.194
465,0.175
466,0.185
467,0.195
468,0.196
469,0.188
470,0.175
471,0.197
472,0.183
473,0.196
474,0.186
475,0.188
476,0.189
477,0.190
478,0.188
479,0.187
480,0.187
481,0.213
482,0.192
483,0.177
484,0.192
485,0.187
486,0.196
487,0.191
488,0.199
489,0.195
490,0.189
491,0.189
492,0.201
493,0.188
494,0.182
495,0.175
496,0.201
497,0.175
498,0.175
499,0.175
500,0.190
501,0.175
502,0.188
503,0.192
504,0.192
505,0.176
506,0.191
507,0.191
508,0.186
509,0.175
510,0.175
511,0.188
512,0.190
513,0.189
514,0.190
515,0.189
516,0.176
517,0.187
518,0.187
519,0.186
520,0.201
521,0.185
522,0.186
523,0.227
524,0.209
525,0.194
526,0.196
527,0.184
528,0.182
529,0.199
530,0.194
531,0.188
532,0.191
533,0.178
534,0.178
535,0.172
536,0.173
537,0.181
538,0.192
539,0.185
540,0.175
541,0.198
542,0.181
543,0.188
544,0.187
545,0.194
546,0.186
547,0.180
548,0.184
549,0.197
550,0.189
551,0.187
552,0.191
553,0.248
554,0.218
555,0.198
556,0.175
557,0.175
558,0.185
559,0.199
560,0.170
561,0.171
562,0.183
563,0.172
564,0.186
565,0.192
566,0.182
567,0.175
568,0.177
569,0.171
570,0.201
571,0.182
572,0.204
573,0.186
574,0.274
575,0.298
576,0.206
577,0.211
578,0.227
579,0.266
580,0.210
581,0.225
582,0.211
583,0.216
584,0.203
585,0.234
586,0.201
587,0.211
588,0.196
589,0.201
590,0.221
591,0.224
592,0.222
593,0.207
594,0.227
595,0.212
596,0.207
597,0.231
598,0.203
599,0.172
600,0.188
601,0.171
602,0.196
603,0.173
604,0.205
605,0.187
606,0.188
607,0.193
608,0.172
609,0.175
610,0.197
611,0.182
612,0.174
613,0.182
614,0.186
615,0.179
616,0.180
617,0.169
618,0.183
619,0.181
620,0.181
621,0.188
622,0.270
623,0.253
624,0.214
625,0.211
626,0.204
627,0.201
628,0.200
629,0.197
630,0.261
631,0.257
632,0.207
633,0.245
634,0.210
635,0.199
636,0.210
637,0.200
638,0.215
639,0.233
640,0.179
641,0.181
642,0.173
643,0.184
644,0.182
645,0.171
646,0.171
647,0.181
648,0.190
649,0.190
650,0.185
651,0.182
652,0.196
653,0.181
654,0.173
655,0.184
656,0.184
657,0.171
658,0.175
659,0.172
660,0.199
661,0.186
662,0.183
663,0.189
664,0.181
665,0.192
666,0.184
667,0.181
668,0.175
669,0.180
670,0.185
671,0.220
672,0.243
673,0.216
674,0.219
675,0.189
676,0.206
677,0.201
678,0.220
679,0.269
680,0.190
681,0.202
682,0.179
683,0.191
684,0.187
685,0.187
686,0.212
687,0.185
688,0.183
689,0.190
690,0.186
691,0.187
692,0.182
693,0.182
694,0.189
695,0.194
696,0.183
697,0.178
698,0.176
699,0.187
700,0.178
701,0.188
702,0.176
703,0.188
704,0.179
705,0.185
706,0.188
707,0.177
708,0.198
709,0.195
710,0.192
711,0.214
712,0.205
713,0.176
714,0.188
715,0.184
716,0.188
717,0.200
718,0.193
719,0.188
720,0.195
721,0.193
722,0.207
723,0.179
724,0.181
725,0.196
726,0.196
727,0.193
728,0.177
729,0.186
730,0.179
731,0.175
732,0.189
733,0.197
734,0.200
735,0.188
736,0.177
737,0.195
738,0.188
739,0.179
740,0.177
741,0.176
742,0.188
743,0.180
744,0.179
745,0.188
746,0.188
747,0.189
748,0.176
749,0.193
750,0.187
751,0.186
752,0.188
753,0.174
754,0.187
755,0.186
756,0.190
757,0.189
