step,time_ms
1,47.029
2,59.534
3,54.062
4,31.021
5,84.230
6,64.543
7,30.532
8,83.658
9,62.038
10,76.400
11,42.472
12,87.447
13,82.746
14,55.810
15,109.790
16,64.143
17,36.684
18,79.183
19,65.061
20,59.051
21,25.288
22,74.887
23,56.318
24,64.128
25,36.348
26,31.137
27,91.667
28,69.353
29,54.985
30,61.550
31,92.566
32,48.632
33,100.953
34,81.852
35,38.078
36,37.717
37,99.066
38,107.407
39,65.343
40,86.133
41,62.327
42,61.259
43,48.960
44,85.485
45,76.897
46,62.175
47,86.299
48,52.354
49,69.838
50,37.713
51,73.569
52,80.651
53,71.000
54,43.264
55,75.299
56,69.693
57,70.404
58,44.712
59,86.935
60,88.801
61,54.458
62,111.840
63,71.870
64,49.412
65,78.733
66,54.769
67,56.405
68,77.464
69,58.027
70,68.488
71,60.379
72,71.893
73,54.732
74,74.826
75,61.797
76,70.629
77,86.654
78,79.904
79,49.137
80,92.759
81,66.592
82,61.408
83,59.813
84,82.573
85,38.761
86,110.647
87,45.420
88,99.735
89,52.201
90,49.489
91,66.447
92,31.717
93,88.061
94,70.219
95,37.360
96,88.736
97,36.979
98,112.023
99,42.840
100,100.442
101,75.535
102,38.020
103,87.545
104,65.392
105,68.519
106,37.900
107,99.606
108,62.682
109,79.774
110,55.610
111,74.574
112,65.845
113,60.881
114,89.304
115,66.021
116,72.061
117,88.876
118,53.168
119,58.127
120,75.016
121,60.955
122,69.034
123,37.446
124,80.413
125,65.003
126,64.086
127,49.521
128,78.795
129,69.547
130,66.936
131,86.891
132,64.208
133,59.339
134,75.083
135,86.414
136,37.388
137,37.106
138,92.128
139,70.928
140,53.528
141,49.489
142,95.610
143,73.282
144,49.626
145,82.172
146,56.343
147,59.593
148,42.754
149,76.565
150,90.552
151,48.085
152,87.667
153,44.058
154,41.570
155,65.862
156,116.011
157,31.850
158,43.119
159,84.380
160,53.950
161,55.197
162,59.948
163,87.399
164,98.119
165,31.340
166,42.206
167,95.270
168,72.887
169,72.368
170,31.302
171,73.612
172,70.052
173,56.364
174,36.514
175,111.127
176,94.211
177,54.366
178,97.310
179,87.847
180,43.243
181,84.492
182,42.474
183,67.812
184,28.561
185,50.763
186,78.155
187,58.482
188,74.095
189,46.433
190,74.271
191,48.852
192,96.562
193,68.511
194,44.064
195,114.914
196,78.017
197,87.676
198,58.496
199,65.900
200,66.916
201,91.880
202,57.543
203,62.068
204,74.547
205,88.217
206,36.753
207,94.410
208,74.918
209,52.637
210,69.606
211,60.498
212,83.389
213,31.441
214,76.029
215,77.843
216,53.833
217,37.214
218,87.474
219,67.548
220,56.520
221,59.369
222,60.799
223,57.890
224,62.018
225,53.075
226,67.110
227,66.310
228,90.521
229,45.629
230,43.812
231,127.460
232,58.525
233,49.414
234,80.885
235,59.898
236,47.459
237,62.546
238,69.292
239,36.957
240,95.564
241,91.785
242,38.115
243,49.510
244,95.487
245,48.795
246,53.132
247,62.853
248,43.053
249,92.592
250,80.223
251,36.847
252,93.375
253,45.892
254,68.640
255,43.542
256,24.926
257,85.275
258,54.790
259,71.509
260,43.191
261,69.177
262,48.370
263,70.621
264,37.223
265,43.437
266,110.286
267,70.349
268,42.003
269,92.630
270,68.630
271,74.117
272,37.565
273,82.993
274,56.915
275,70.818
276,37.202
277,78.631
278,54.846
279,67.433
280,43.303
281,73.789
282,65.792
283,64.676
284,91.652
285,94.153
286,57.391
287,54.079
288,42.580
289,81.050
290,53.325
291,79.037
292,77.564
293,69.923
294,53.941
295,86.580
296,49.865
297,61.442
298,37.762
299,80.474
300,60.073
301,61.255
302,88.771
303,70.703
304,43.040
305,81.375
306,50.008
307,53.798
308,58.974
309,71.242
310,61.623
311,55.148
312,69.180
313,61.499
314,56.235
315,76.173
316,69.355
317,44.189
318,80.447
319,59.776
320,58.911
321,43.068
322,68.310
323,58.082
324,76.832
325,96.402
326,63.400
327,37.857
328,78.912
329,68.805
330,73.832
331,71.751
332,59.857
333,69.333
334,69.008
335,134.295
336,72.086
337,75.394
338,69.585
339,59.646
340,43.782
341,77.591
342,63.753
343,57.341
344,37.621
345,104.365
346,67.320
347,55.524
348,112.370
349,55.238
350,43.295
351,87.737
352,61.843
353,49.724
354,56.878
355,71.800
356,58.016
357,57.099
358,43.149
359,76.463
360,72.747
361,53.975
362,37.457
363,79.542
364,62.553
365,63.918
366,59.797
367,66.138
368,44.273
369,77.331
370,61.854
371,37.981
372,37.528
373,64.422
374,50.980
375,69.504
376,42.848
377,99.985
378,60.874
379,38.000
380,47.484
381,100.677
382,41.683
383,56.736
384,30.835
385,93.181
386,70.027
387,48.159
388,107.065
389,72.354
390,67.073
391,110.539
392,60.138
393,42.439
394,80.412
395,55.670
396,62.152
397,82.526
398,49.596
399,54.701
400,42.675
401,64.159
402,63.187
403,51.984
404,48.985
405,83.964
406,48.622
407,67.294
408,58.965
409,67.843
410,81.838
411,70.057
412,51.759
413,57.153
414,48.343
415,80.806
416,85.382
417,47.010
418,43.097
419,87.901
420,71.168
421,61.556
422,55.296
423,86.740
424,58.517
425,61.713
426,92.021
427,68.004
428,44.603
429,90.585
430,58.280
431,47.272
432,40.597
433,73.494
434,51.165
435,37.356
436,78.868
437,41.987
438,59.721
439,36.915
440,88.629
441,62.042
442,37.015
443,31.891
444,81.301
445,44.504
446,40.639
447,71.768
448,51.601
449,42.516
450,72.790
451,76.947
452,76.192
453,89.835
454,56.045
455,67.086
456,64.995
457,52.513
458,42.620
459,67.569
460,64.901
461,52.091
462,51.768
463,36.403
464,86.886
465,60.036
466,37.277
467,80.990
468,51.819
469,51.456
470,42.262
471,66.262
472,72.732
473,59.400
474,72.486
475,66.924
476,58.985
477,87.668
478,70.208
479,55.332
480,74.621
481,114.874
482,99.406
483,65.838
484,47.723
485,96.693
486,58.894
487,77.675
488,35.883
489,79.391
490,65.356
491,63.884
492,43.379
493,87.286
494,52.505
495,60.078
496,58.610
497,75.532
498,51.251
499,50.974
500,56.680
501,62.101
502,66.879
503,63.834
504,84.315
505,45.667
506,73.732
507,43.762
508,75.292
509,50.658
510,40.403
511,66.591
512,56.886
513,81.001
514,85.430
515,54.938
516,77.735
517,68.314
518,61.554
519,54.776
520,60.617
521,69.459
522,41.772
523,81.886
524,51.396
525,47.647
526,60.822
527,36.375
528,73.698
529,80.103
530,42.408
531,86.154
532,64.152
533,43.710
534,49.307
535,31.187
536,68.959
537,59.580
538,56.690
539,67.605
540,42.577
541,74.095
542,43.408
543,93.340
544,59.670
545,54.339
546,88.723
547,30.882
548,64.961
549,60.098
550,42.922
551,75.054
552,113.859
553,76.510
554,80.591
555,84.390
556,55.045
557,36.241
558,80.822
559,104.333
560,26.431
561,36.761
562,95.652
563,56.341
564,70.255
565,81.670
566,59.147
567,56.413
568,36.652
569,63.783
570,65.530
571,74.054
572,48.067
573,72.878
574,59.143
575,51.236
576,49.920
577,44.011
578,106.753
579,49.472
580,31.766
581,79.057
582,69.983
583,78.877
584,70.345
585,65.368
586,61.311
587,43.755
588,97.449
589,64.312
590,62.077
591,106.635
592,79.463
593,61.799
594,116.238
595,65.542
596,42.761
597,74.903
598,72.923
599,56.069
600,49.281
601,73.419
602,95.097
603,36.883
604,96.887
605,61.831
606,71.714
607,32.017
608,75.536
609,53.531
610,51.533
611,56.315
612,31.633
613,84.649
614,69.560
615,62.907
616,85.458
617,32.209
618,80.250
619,63.576
620,74.477
621,73.380
622,53.423
623,97.121
624,65.853
625,76.560
626,44.035
627,82.545
628,42.595
629,76.028
630,57.647
631,80.286
632,54.393
633,87.691
634,93.791
635,87.872
636,59.392
637,62.392
638,75.264
639,43.518
640,76.412
641,63.892
642,55.472
643,48.550
644,84.680
645,60.318
646,59.971
647,70.648
648,92.422
649,72.105
650,158.580
651,88.262
652,84.823
653,99.504
654,55.584
655,61.197
656,73.440
657,66.133
658,113.855
659,38.929
660,105.759
661,92.934
662,52.091
663,113.339
664,67.008
665,53.905
666,86.870
667,81.590
668,32.245
669,43.837
670,113.302
671,67.977
672,54.677
673,77.118
674,60.321
675,26.742
676,37.390
677,89.371
678,73.771
679,67.312
680,77.469
681,108.183
682,40.215
683,90.277
684,73.600
685,69.089
686,76.225
687,60.351
688,72.461
689,84.864
690,133.156
691,81.713
692,59.109
693,117.559
694,126.711
695,100.362
696,73.817
697,52.169
698,34.648
699,84.040
700,58.358
701,111.115
702,32.135
703,92.894
704,53.846
705,93.011
706,43.591
707,31.700
708,133.565
709,66.589
710,37.732
711,116.180
712,75.448
713,30.922
714,86.363
715,44.075
716,77.770
717,62.955
718,64.738
719,61.777
720,68.187
721,36.849
722,25.533
723,79.577
724,56.133
725,85.149
726,62.666
727,102.056
728,61.797
729,48.382
730,79.512
731,50.302
732,54.443
733,82.420
734,127.791
735,42.688
736,85.656
737,91.681
738,65.685
739,42.821
740,77.953
741,37.257
742,71.893
743,55.300
744,36.951
745,81.040
746,61.664
747,70.977
748,37.183
749,99.325
750,65.080
751,42.974
752,78.488
753,25.996
754,66.038
755,62.000
756,49.400
757,86.537
758,63.658
759,47.773
760,79.887
761,71.244
762,78.069
763,70.006
764,43.423
765,86.694
766,63.110
767,73.513
768,42.420
