step,time_ms
1,14.166
2,14.218
3,13.556
4,13.447
5,13.427
6,13.740
7,13.707
8,13.283
9,13.584
10,13.996
11,13.505
12,13.363
13,13.487
14,13.365
15,13.302
16,13.384
17,13.698
18,13.867
19,13.503
20,13.383
21,13.428
22,13.549
23,13.656
24,13.353
25,13.461
26,13.966
27,13.490
28,13.476
29,13.449
30,13.348
31,13.315
32,13.372
33,13.604
34,14.282
35,17.408
36,14.257
37,14.797
38,14.452
39,14.103
40,14.149
41,14.260
42,14.034
43,19.941
44,14.101
45,13.496
46,13.353
47,13.617
48,13.650
49,14.493
50,13.790
51,14.129
52,13.886
53,13.688
54,13.848
55,13.851
56,13.714
57,13.874
58,13.874
59,13.645
60,13.602
61,13.521
62,13.569
63,13.346
64,13.749
65,13.785
66,13.529
67,13.439
68,13.373
69,13.304
70,13.420
71,13.330
72,13.371
73,13.548
74,13.824
75,13.434
76,13.367
77,13.246
78,13.543
79,13.373
80,13.259
81,13.552
82,13.687
83,13.818
84,13.358
85,13.276
86,13.367
87,13.416
88,13.302
89,13.656
90,13.805
91,13.438
92,13.438
93,13.439
94,13.475
95,13.249
96,13.312
97,13.807
98,13.746
99,13.288
100,13.263
101,13.334
102,14.110
103,13.340
104,13.315
105,13.807
106,13.467
107,13.354
108,13.363
109,13.560
110,13.300
111,13.857
112,13.585
113,13.770
114,13.611
115,13.545
116,13.415
117,13.339
118,13.407
119,13.257
120,13.281
121,13.483
122,13.456
123,13.320
124,13.677
125,13.878
126,13.601
127,13.384
128,13.409
129,13.584
130,13.507
131,13.521
132,13.405
133,13.749
134,13.729
135,13.450
136,13.818
137,13.911
138,13.730
139,14.316
140,14.074
141,13.739
142,13.911
143,13.770
144,13.679
145,13.860
146,13.745
147,13.694
148,13.748
149,13.687
150,13.603
151,13.678
152,13.756
153,14.025
154,14.005
155,13.604
156,13.696
157,13.679
158,13.567
159,13.646
160,13.621
161,13.654
162,14.137
163,13.816
164,13.795
165,13.738
166,13.837
167,13.748
168,13.891
169,13.987
170,13.682
171,13.451
172,13.420
173,13.421
174,13.567
175,13.513
176,13.526
177,13.797
178,13.776
179,13.418
180,13.424
181,13.263
182,13.357
183,13.251
184,13.945
185,13.646
186,13.856
187,13.627
188,13.593
189,13.419
190,13.415
191,13.489
192,13.532
193,13.825
194,13.849
195,13.815
196,13.654
197,13.401
198,13.630
199,13.775
200,13.825
201,13.863
202,13.918
203,13.567
204,13.890
205,13.841
206,13.832
207,13.470
208,13.484
209,13.801
210,13.964
211,13.424
212,13.369
213,13.361
214,13.441
215,13.348
216,13.222
217,13.651
218,13.747
219,14.130
220,13.936
221,13.751
222,13.803
223,14.063
224,13.641
225,14.042
226,13.906
227,13.456
228,13.533
229,13.662
230,13.465
231,13.291
232,13.398
233,13.613
234,13.758
235,13.379
236,13.441
237,13.345
238,13.268
239,13.320
240,13.700
241,13.601
242,13.988
243,13.775
244,13.382
245,13.552
246,13.176
247,13.229
248,13.337
249,13.775
250,13.956
251,13.443
252,13.391
253,13.432
254,13.378
255,13.343
256,13.667
257,14.057
258,13.825
259,13.356
260,13.331
261,13.466
262,13.321
263,13.393
264,13.398
265,13.586
266,13.726
267,13.741
268,13.867
269,13.659
270,13.240
271,13.392
272,13.188
273,13.700
274,13.525
275,13.422
276,13.347
277,13.398
278,13.393
279,13.317
280,13.767
281,14.032
282,13.647
283,13.651
284,13.495
285,13.400
286,13.285
287,13.437
288,13.349
289,13.841
290,13.682
291,13.376
292,13.464
293,13.420
294,13.345
295,13.410
296,13.350
297,13.826
298,13.553
299,13.400
300,13.342
301,13.402
302,13.368
303,13.260
304,13.639
305,13.605
306,13.709
307,13.739
308,13.354
309,13.249
310,13.819
311,13.952
312,13.373
313,13.642
314,13.688
315,13.757
316,14.109
317,13.759
318,13.413
319,13.354
320,13.312
321,13.809
322,13.769
323,13.415
324,13.386
325,13.508
326,13.288
327,13.263
328,13.333
329,13.530
330,13.678
331,13.631
332,13.404
333,13.352
334,13.265
335,13.315
336,13.291
337,13.632
338,13.678
339,13.655
340,13.449
341,13.430
342,13.288
343,13.308
344,13.249
345,13.777
346,13.910
347,13.495
348,13.505
349,13.398
350,13.370
351,13.313
352,13.376
353,13.597
354,13.384
355,13.446
356,13.437
357,13.333
358,13.320
359,13.228
360,13.356
361,13.701
362,13.846
363,13.478
364,13.440
365,13.396
366,13.254
367,13.295
368,13.157
369,13.504
370,13.497
371,13.790
372,13.273
373,13.569
374,13.396
375,13.288
376,13.446
377,13.430
378,13.959
379,13.434
380,13.339
381,13.348
382,13.328
383,13.177
384,13.505
385,14.282
386,13.933
387,13.975
388,13.401
389,13.473
390,13.238
391,13.322
392,13.343
393,13.672
394,13.577
395,13.241
396,13.538
397,13.748
398,13.279
399,13.987
400,13.971
401,14.084
402,13.931
403,13.992
404,14.073
405,14.239
406,14.052
407,14.037
408,14.017
409,13.758
410,13.844
411,14.132
412,14.062
413,14.129
414,14.097
415,14.377
416,13.651
417,14.124
418,13.854
419,13.386
420,13.732
421,14.068
422,13.757
423,13.434
424,13.474
425,13.591
426,13.809
427,13.649
428,13.394
429,13.372
430,13.284
431,13.664
432,13.824
433,13.669
434,13.376
435,13.855
436,13.387
437,13.382
438,13.369
439,13.349
440,13.381
441,13.702
442,13.883
443,13.666
444,13.428
445,13.530
446,13.535
447,13.283
448,13.260
449,13.774
450,13.885
451,13.879
452,13.945
453,13.768
454,13.459
455,13.490
456,13.425
457,13.681
458,13.712
459,13.466
460,13.454
461,13.367
462,13.828
463,13.905
464,13.650
465,13.761
466,13.806
467,13.487
468,13.698
469,13.609
470,13.345
471,13.453
472,13.299
473,13.813
474,13.825
475,13.824
476,13.449
477,13.536
478,13.426
479,13.435
480,13.285
481,13.520
482,13.720
483,13.570
484,13.405
485,13.488
486,13.342
487,13.343
488,13.337
489,13.717
490,13.591
491,13.531
492,13.433
493,13.415
494,13.386
495,13.400
496,13.333
497,13.979
498,13.836
499,13.781
500,13.435
501,13.704
502,13.708
503,13.392
504,13.579
505,13.672
506,14.084
507,14.236
508,13.829
509,13.607
510,13.453
511,13.390
512,13.497
513,13.550
514,13.612
515,13.463
516,13.492
517,13.627
518,13.634
519,13.898
520,13.644
521,13.614
522,13.790
523,13.614
524,13.507
525,13.594
526,13.545
527,13.311
528,13.451
529,13.483
530,13.830
531,13.508
532,13.330
533,13.427
534,13.474
535,13.423
536,13.496
537,13.407
538,13.602
539,13.402
540,13.305
541,13.254
542,13.823
543,14.551
544,14.324
545,14.155
546,14.460
547,14.135
548,14.318
549,14.149
550,14.018
551,14.120
552,14.178
553,13.756
554,13.881
555,14.344
556,14.103
557,13.982
558,14.269
559,13.801
560,13.805
561,13.647
562,14.111
563,13.708
564,14.063
565,13.743
566,14.592
567,16.552
568,16.390
569,14.663
570,15.203
571,16.027
572,16.523
573,16.476
574,16.517
575,16.392
576,15.850
577,13.818
578,13.883
579,13.745
580,14.262
581,14.151
582,14.167
583,14.254
584,14.195
585,13.939
586,13.625
587,13.901
588,13.415
589,13.417
590,13.470
591,13.862
592,13.389
593,13.584
594,13.614
595,13.631
596,13.296
597,13.737
598,14.079
599,13.902
600,13.836
601,14.042
602,13.711
603,13.701
604,13.522
605,13.700
606,14.332
607,14.211
608,14.290
609,14.424
610,14.221
611,13.943
612,13.676
613,13.767
614,13.903
615,13.816
616,13.721
617,13.735
618,13.904
619,13.794
620,13.739
621,13.656
622,14.179
623,13.747
624,14.327
625,13.587
626,13.946
627,13.536
628,13.401
629,13.480
630,13.330
631,13.319
632,13.209
633,13.627
