step,time_ms
1,0.308
2,0.208
3,0.199
4,0.188
5,0.183
6,0.300
7,0.278
8,0.230
9,0.202
10,0.214
11,0.201
12,0.198
13,0.192
14,0.214
15,0.197
16,0.202
17,0.214
18,0.211
19,0.229
20,0.199
21,0.182
22,0.187
23,0.184
24,0.182
25,0.184
26,0.177
27,0.175
28,0.181
29,0.182
30,0.183
31,0.183
32,0.183
33,0.179
34,0.182
35,0.175
36,0.180
37,0.179
38,0.175
39,0.173
40,0.173
41,0.173
42,0.179
43,0.180
44,0.176
45,0.187
46,0.194
47,0.173
48,0.183
49,0.181
50,0.179
51,0.192
52,0.183
53,0.207
54,0.181
55,0.186
56,0.186
57,0.286
58,0.238
59,0.210
60,0.246
61,0.221
62,0.279
63,0.229
64,0.188
65,0.185
66,0.184
67,0.186
68,0.179
69,0.181
70,0.192
71,0.184
72,0.201
73,0.196
74,0.185
75,0.179
76,0.179
77,0.175
78,0.174
79,0.180
80,0.179
81,0.173
82,0.180
83,0.175
84,0.179
85,0.181
86,0.180
87,0.192
88,0.180
89,0.182
90,0.184
91,0.179
92,0.175
93,0.181
94,0.182
95,0.178
96,0.179
97,0.185
98,0.185
99,0.188
100,0.179
101,0.177
102,0.179
103,0.188
104,0.180
105,0.197
106,0.190
107,0.257
108,0.236
109,0.200
110,0.190
111,0.196
112,0.191
113,0.218
114,0.188
115,0.195
116,0.189
117,0.198
118,0.199
119,0.190
120,0.196
121,0.186
122,0.186
123,0.186
124,0.188
125,0.189
126,0.193
127,0.185
128,0.184
129,0.186
130,0.186
131,0.186
132,0.189
133,0.199
134,0.187
135,0.185
136,0.195
137,0.184
138,0.185
139,0.186
140,0.187
141,0.186
142,0.194
143,0.183
144,0.219
145,0.201
146,0.197
147,0.273
148,0.194
149,0.193
150,0.199
151,0.190
152,0.186
153,0.184
154,0.185
155,0.196
156,0.211
157,0.201
158,0.211
159,0.186
160,0.197
161,0.192
162,0.186
163,0.186
164,0.185
165,0.189
166,0.181
167,0.187
168,0.187
169,0.185
170,0.184
171,0.184
172,0.188
173,0.184
174,0.188
175,0.195
176,0.210
177,0.197
178,0.198
179,0.193
180,0.184
181,0.189
182,0.190
183,0.184
184,0.184
185,0.217
186,0.268
187,0.210
188,0.193
189,0.187
190,0.186
191,0.186
192,0.188
193,0.190
194,0.201
195,0.194
196,0.201
197,0.185
198,0.185
199,0.188
200,0.187
201,0.202
202,0.200
203,0.193
204,0.185
205,0.179
206,0.184
207,0.186
208,0.185
209,0.184
210,0.186
211,0.186
212,0.185
213,0.184
214,0.186
215,0.186
216,0.184
217,0.187
218,0.186
219,0.185
220,0.184
221,0.184
222,0.189
223,0.188
224,0.199
225,0.183
226,0.214
227,0.245
228,0.202
229,0.216
230,0.213
231,0.214
232,0.192
233,0.195
234,0.185
235,0.185
236,0.179
237,0.187
238,0.178
239,0.201
240,0.183
241,0.196
242,0.195
243,0.186
244,0.200
245,0.183
246,0.178
247,0.185
248,0.186
249,0.183
250,0.183
251,0.182
252,0.185
253,0.185
254,0.179
255,0.182
256,0.179
257,0.188
258,0.184
259,0.188
260,0.183
261,0.186
262,0.181
263,0.179
264,0.184
265,0.182
266,0.177
267,0.182
268,0.184
269,0.190
270,0.180
271,0.186
272,0.181
273,0.183
274,0.185
275,0.184
276,0.185
277,0.183
278,0.247
279,0.229
280,0.217
281,0.185
282,0.201
283,0.199
284,0.189
285,0.204
286,0.185
287,0.201
288,0.189
289,0.185
290,0.185
291,0.185
292,0.184
293,0.188
294,0.184
295,0.184
296,0.183
297,0.184
298,0.185
299,0.184
300,0.183
301,0.184
302,0.189
303,0.181
304,0.185
305,0.181
306,0.186
307,0.190
308,0.193
309,0.182
310,0.185
311,0.195
312,0.187
313,0.189
314,0.226
315,0.209
316,0.257
317,0.228
318,0.204
319,0.201
320,0.187
321,0.178
322,0.182
323,0.190
324,0.176
325,0.185
326,0.201
327,0.183
328,0.238
329,0.247
330,0.200
331,0.186
332,0.187
333,0.185
334,0.183
335,0.188
336,0.184
337,0.185
338,0.186
339,0.184
340,0.184
341,0.192
342,0.184
343,0.185
344,0.185
345,0.186
346,0.188
347,0.182
348,0.190
349,0.183
350,0.226
351,0.275
352,0.307
353,0.201
354,0.179
355,0.181
356,0.179
357,0.179
358,0.179
359,0.182
360,0.179
361,0.174
362,0.179
363,0.176
364,0.178
365,0.184
366,0.186
367,0.178
368,0.183
369,0.181
370,0.184
371,0.175
372,0.176
373,0.186
374,0.181
375,0.179
376,0.180
377,0.178
378,0.178
379,0.208
380,0.247
381,0.203
382,0.187
383,0.185
384,0.195
385,0.188
386,0.194
387,0.186
388,0.187
389,0.195
390,0.183
391,0.193
392,0.188
393,0.188
394,0.188
395,0.185
396,0.188
397,0.183
398,0.205
399,0.190
400,0.250
401,0.217
402,0.184
403,0.186
404,0.176
405,0.189
406,0.185
407,0.187
408,0.182
409,0.190
410,0.190
411,0.191
412,0.199
413,0.181
414,0.196
415,0.185
416,0.180
417,0.182
418,0.182
419,0.182
420,0.181
421,0.181
422,0.176
423,0.181
424,0.176
425,0.181
426,0.181
427,0.181
428,0.183
429,0.183
430,0.188
431,0.256
432,0.198
433,0.185
434,0.188
435,0.189
436,0.184
437,0.185
438,0.186
