step,time_ms
1,13.264
2,14.969
3,13.229
4,9.979
5,19.321
6,13.391
7,9.990
8,14.179
9,14.965
10,16.795
11,13.017
12,15.303
13,18.489
14,16.831
15,19.160
16,13.030
17,13.740
18,12.861
19,13.458
20,12.869
21,8.385
22,13.234
23,12.914
24,16.030
25,11.369
26,10.012
27,14.690
28,15.038
29,13.192
30,13.299
31,23.198
32,15.285
33,15.022
34,12.976
35,11.481
36,11.290
37,11.840
38,20.531
39,13.452
40,16.620
41,13.492
42,12.967
43,15.038
44,17.094
45,13.252
46,18.667
47,13.127
48,11.406
49,14.932
50,14.033
51,11.329
52,18.627
53,15.144
54,13.029
55,11.406
56,17.400
57,11.439
58,13.193
59,15.025
60,16.561
61,16.722
62,21.682
63,15.311
64,15.031
65,11.527
66,11.397
67,13.286
68,19.515
69,13.306
70,16.664
71,11.598
72,14.881
73,16.761
74,14.678
75,12.804
76,16.965
77,18.544
78,15.011
79,15.038
80,17.170
81,14.881
82,10.011
83,16.250
84,10.000
85,11.250
86,21.157
87,13.479
88,14.908
89,10.008
90,11.259
91,14.791
92,10.054
93,12.765
94,15.525
95,11.336
96,14.877
97,11.531
98,20.183
99,13.693
100,18.758
101,14.844
102,11.471
103,13.215
104,14.984
105,13.023
106,11.331
107,18.686
108,11.381
109,13.329
110,11.551
111,16.535
112,13.395
113,15.183
114,11.421
115,14.914
116,14.910
117,17.037
118,11.597
119,12.923
120,17.104
121,13.393
122,12.915
123,11.837
124,13.014
125,13.565
126,11.356
127,17.108
128,13.188
129,14.994
130,15.013
131,16.657
132,13.434
133,15.717
134,14.601
135,16.886
136,11.552
137,11.406
138,14.907
139,17.641
140,11.551
141,14.991
142,15.035
143,14.960
144,15.053
145,12.991
146,13.790
147,12.854
148,13.372
149,12.906
150,18.686
151,15.243
152,17.301
153,9.946
154,9.876
155,16.387
156,22.845
157,10.238
158,14.902
159,9.982
160,12.651
161,13.347
162,12.864
163,18.584
164,23.957
165,10.251
166,13.104
167,11.466
168,14.799
169,16.600
170,9.934
171,13.109
172,14.651
173,11.669
174,11.296
175,20.203
176,15.159
177,18.746
178,14.893
179,14.869
180,13.265
181,12.899
182,13.236
183,13.683
184,6.527
185,12.985
186,16.514
187,13.269
188,14.980
189,9.922
190,18.832
191,14.934
192,14.865
193,14.817
194,12.874
195,18.562
196,19.324
197,14.844
198,13.213
199,12.903
200,20.561
201,16.260
202,11.328
203,14.833
204,14.835
205,18.781
206,11.521
207,15.644
208,16.402
209,11.416
210,14.721
211,13.302
212,18.543
213,9.595
214,11.653
215,16.213
216,11.416
217,11.089
218,13.235
219,13.062
220,13.115
221,13.579
222,13.177
223,13.015
224,13.133
225,12.866
226,14.805
227,13.219
228,17.145
229,8.010
230,13.159
231,18.415
232,11.508
233,11.268
234,16.416
235,13.932
236,11.542
237,12.884
238,13.497
239,11.324
240,16.433
241,20.054
242,11.393
243,14.833
244,11.383
245,9.856
246,12.695
247,13.222
248,12.800
249,17.248
250,16.772
251,11.572
252,14.774
253,9.990
254,14.246
255,13.297
256,10.556
257,11.145
258,11.300
259,14.785
260,13.149
261,9.880
262,11.110
263,14.710
264,13.907
265,12.702
266,14.953
267,13.370
268,12.895
269,15.022
270,14.832
271,17.160
272,11.365
273,13.149
274,12.997
275,14.782
276,11.323
277,11.673
278,13.437
279,12.800
280,13.245
281,11.341
282,14.907
283,13.298
284,23.594
